փողոց 	1	1376
պողոտա 	1	239
methan 	1	185
փող 	1	136
դպրոց 	1	130
նրբանցք 	1	130
խճուղի 	1	67
fixme 	1	65
cng 	1	58
փող. 	1	55
methan cng 	2	53
school 	1	53
թիվ 	1	49
եկեղեցի 	1	47
մեսրոպ 	1	46
միջնակարգ 	1	45
սուրբ 	1	45
մաշտոցի 	1	45
միջնակարգ դպրոց 	2	45
մեսրոպ մաշտոցի 	2	41
bank 	1	40
մաշտոցի պողոտա 	2	39
մեսրոպ մաշտոցի պողոտա 	3	39
թումանյան 	1	38
անվան 	1	37
մարշալ 	1	36
իսակովի 	1	36
փ. 	1	34
փակուղի 	1	34
գյուղապետարան 	1	31
թաղամաս 	1	31
ադմիրալ իսակովի 	2	30
ադմիրալ 	1	30
ադմիրալ իսակովի պողոտա 	3	28
իսակովի պողոտա 	2	28
բաղրամյան 	1	28
գարեգին 	1	27
no 	1	26
տիգրան 	1	26
մանկապարտեզ 	1	26
նժդեհի 	1	25
գրիգոր 	1	24
չարենցի 	1	23
ազատության 	1	23
մարշալ բաղրամյան 	2	22
կենտրոն 	1	22
no. 	1	22
գարեգին նժդեհի 	2	22
station 	1	22
շահումյան 	1	21
շահումյան փողոց 	2	21
մյասնիկյանի 	1	20
տիգրան մեծի 	2	20
չարենցի փողոց 	2	20
բագրատունյաց պողոտա 	2	20
բագրատունյաց 	1	20
մեծի 	1	20
աբովյան 	1	19
նոր 	1	19
ազատության պողոտա 	2	19
լենինգրադյան 	1	19
կոմիտասի 	1	19
unibank 	1	19
դպրոց թիվ 	2	18
աբովյան փողոց 	2	18
լենինգրադյան փողոց 	2	18
hsbc 	1	17
church 	1	17
արշակունյաց 	1	17
թումանյան փողոց 	2	17
road 	1	16
արշակունյաց պողոտա 	2	16
vtb 	1	16
մարշալ բաղրամյան պողոտա 	3	16
school no 	2	16
համալսարան 	1	16
մյասնիկյանի պողոտա 	2	16
տերյան 	1	16
տիգրան մեծի պողոտա 	3	16
մեծի պողոտա 	2	16
բաղրամյան պողոտա 	2	16
տերյան փողոց 	2	16
st. 	1	16
անդրանիկի 	1	15
դավթաշենի 	1	15
հպճհ 	1	15
գայի 	1	15
kindergarden 	1	15
եղվարդի խճուղի 	2	15
ազատամարտիկների 	1	15
cps 	1	15
մասնաշենք 	1	15
եղվարդի 	1	15
սարալանջի 	1	15
haypost 	1	14
բանկ 	1	14
գարեգին նժդեհի փողոց 	3	14
ռուբինյանց 	1	14
նալբանդյանի փողոց 	2	14
նալբանդյանի 	1	14
նժդեհի փողոց 	2	14
տուն 	1	14
հրաչյա 	1	14
pizza 	1	14
կոմիտասի պողոտա 	2	13
of 	1	13
խանջյան 	1	13
old 	1	13
մխիթար 	1	13
վ. 	1	13
acba 	1	13
ռուբինյանց փողոց 	2	13
վաղարշ 	1	13
սիլիկյան 	1	13
լուսավորչի 	1	13
vanadzor 	1	13
փողոցը 	1	13
նրբ 	1	13
պետական 	1	13
պուշկինի 	1	13
սայաթ 	1	13
ա. 	1	12
inecobank 	1	12
lane 	1	12
քրիստափորի 	1	12
խորենացու 	1	12
սարալանջի խճուղի 	2	12
փկղ 	1	12
kindergarten 	1	12
թատրոն 	1	12
վաղարշյան 	1	12
նովայի 	1	12
սևակի 	1	12
վաղարշ վաղարշյան 	2	12
school no. 	2	12
երևանյան 	1	12
սայաթ նովայի 	2	12
սեբաստիայի փողոց 	2	12
շահումյանի 	1	12
սեբաստիայի 	1	12
դավիթ 	1	11
հովհաննես 	1	11
tashir 	1	11
զորավար 	1	11
խորենացու փողոց 	2	11
հովսեփ 	1	11
զորավար անդրանիկի 	2	11
նալբանդյան 	1	11
պուշկինի փողոց 	2	11
cng station 	2	11
անվան թիվ 	2	11
բժշկական 	1	11
արցախի 	1	11
street 	1	11
նրբ. 	1	11
ստեփանյան 	1	11
նովայի պողոտա 	2	11
աշտարակի 	1	11
սայաթ նովայի պողոտա 	3	11
ազատամարտիկների պողոտա 	2	11
հրապարակ 	1	11
աշտարակի խճուղի 	2	11
արաբկիրի 	1	11
flash 	1	11
խանջյան փողոց 	2	11
երևանի 	1	10
օրբելի 	1	10
դեղատուն 	1	10
սբ. 	1	10
սիլիկյան թաղամաս 	2	10
կամոյի 	1	10
areximbank 	1	10
հիմնական 	1	9
էմինի 	1	9
շիրակի 	1	9
աստվածածին եկեղեցի 	2	9
թումանյան պողոտա 	2	9
հյուսիս-հարավ մայրուղի 	2	9
մայրուղի 	1	9
կորյունի փողոց 	2	9
հովսեփ էմինի 	2	9
հասրաթյանի փողոց 	2	9
արարատյան 	1	9
ամիրյան 	1	9
թբիլիսյան խճուղի 	2	9
կորյունի 	1	9
գրիգոր հասրաթյանի փողոց 	3	9
հին 	1	9
կիևյան 	1	9
ararat 	1	9
tashir pizza 	2	9
քրիստափորի փողոց 	2	9
կամուրջ 	1	9
նալբանդյան փողոց 	2	9
հյուսիս-հարավ 	1	9
թեվոսյան փողոց 	2	9
սևակի փողոց 	2	9
աստվածածին 	1	9
hospital 	1	9
գրիգոր հասրաթյանի 	2	9
ներսիսյան 	1	9
հասրաթյանի 	1	9
ամիրյան փողոց 	2	9
demirchyan 	1	9
armenia 	1	9
քաղաքապետարան 	1	9
hall 	1	9
իսահակյան 	1	9
araratbank 	1	9
չարենց 	1	9
after 	1	9
թբիլիսյան 	1	9
թեվոսյան 	1	9
շուկա 	1	8
մարշալ բաբաջանյանի փողոց 	3	8
էմինի փողոց 	2	8
հակոբ 	1	8
կարապետ 	1	8
methan cng station 	3	8
հիմնական դպրոց 	2	8
բաբաջանյանի 	1	8
բաբաջանյանի փողոց 	2	8
ն. 	1	8
ameriabank 	1	8
շարք 	1	8
պոլիկլինիկա 	1	8
գրիքոր լուսավորչի փող 	3	8
եղբայրների 	1	8
մարշալ բաբաջանյանի 	2	8
դպրոցականների 	1	8
վարդանանց 	1	8
գրիքոր 	1	8
kindergarden no. 	2	8
sevan 	1	8
եղբայրների փողոց 	2	8
հալաբյան 	1	8
մեծ 	1	8
հալաբյան փողոց 	2	8
ameria 	1	8
monastery 	1	8
գրիքոր լուսավորչի 	2	8
լուսավորչի փող 	2	8
բժշկական կենտրոն 	2	8
hrazdan 	1	8
անդրանիկի փողոց 	2	8
շինարարների 	1	8
աթենքի փողոց 	2	8
հովսեփ էմինի փողոց 	3	8
գայի պողոտա 	2	8
սարգսյանի 	1	8
աթենքի 	1	8
pub 	1	7
հին երևանցու փողոց 	3	7
plant 	1	7
կողբացու փողոց 	2	7
կարապետ ուլնեցու 	2	7
սարգիս 	1	7
օրբելի եղբայրների 	2	7
կողբացու 	1	7
highway 	1	7
նոր թաղամասի 	2	7
վտբ 	1	7
իսահակյան փողոց 	2	7
police 	1	7
քանաքեռի 	1	7
հին երևանցու 	2	7
սուրբ աստվածածին 	2	7
սուրբ աստվածածին եկեղեցի 	3	7
միկոյան 	1	7
գևորգ 	1	7
տիչինայի 	1	7
հերացու 	1	7
շիրազի 	1	7
methan sevan 	2	7
նարեկացի 	1	7
հանրապետության 	1	7
ագաթանգեղոսի փողոց 	2	7
օրբելի եղբայրների փողոց 	3	7
երևանցու 	1	7
conversbank 	1	7
jermuk 	1	7
սունդուկյան փողոց 	2	7
երաժշտական 	1	7
ագաթանգեղոսի 	1	7
եզնիկ 	1	7
ավետիսյան փողոց 	2	7
կոնվերս բանկ 	2	7
այգեձորի 	1	7
ճանապարհ 	1	7
վազգեն 	1	7
սունդուկյան 	1	7
ռազմավիրական ճանապարհ 	2	7
շիրակի փողոց 	2	7
կոնվերս 	1	7
երևանցու փողոց 	2	7
բյուզանդի փողոց 	2	7
ավետիսյան 	1	7
կենտրոնական 	1	7
gyumri 	1	7
բյուզանդի 	1	7
հակոբյան 	1	7
դուրյան 	1	7
եզնիկ կողբացու փողոց 	3	7
բաբայան փողոց 	2	7
ուլնեցու 	1	7
ռազմավիրական 	1	7
հայաստանի 	1	7
բաբայան 	1	7
թաղամասի 	1	7
վանք 	1	7
մխիթար հերացու 	2	7
համալիր 	1	7
րաֆֆու 	1	7
եզնիկ կողբացու 	2	7
ararat bank 	2	6
ստեփանյան փողոց 	2	6
նաիրի 	1	6
ավետիք իսահակյան փողոց 	3	6
հրաչյա քոչար փողոց 	3	6
շենք 	1	6
jermuk highway 	2	6
զարյան 	1	6
չարենց թաղամաս 	2	6
դեսպանատուն 	1	6
թումանյան փողոցը 	2	6
և 	1	6
զորավար անդրանիկի փողոց 	3	6
սասնա ծռերի փողոց 	3	6
աշոտ 	1	6
սարգսյան 	1	6
մարգարյան 	1	6
to 	1	6
բեկի 	1	6
հրաչյա քոչար 	2	6
community hall 	2	6
քոչար փողոց 	2	6
քոչար 	1	6
house 	1	6
կասյան փողոց 	2	6
կասյան 	1	6
ավետիք 	1	6
սուրբ սարգիս 	2	6
փբը 	1	6
ashb 	1	6
դավիթ բեկի 	2	6
հ. 	1	6
աբովյանի 	1	6
bta 	1	6
ծռերի փողոց 	2	6
լուկաշինի 	1	6
սասնա 	1	6
դուրյան թաղամաս 	2	6
դուդինի 	1	6
արցախի պողոտա 	2	6
երևանյան փողոց 	2	6
վարդանանց փողոց 	2	6
հեռացու փողոց 	2	6
սասնա ծռերի 	2	6
methan vanadzor 	2	6
արտաշատի 	1	6
նժդեհի փող 	2	6
կիևյան փողոց 	2	6
արամ 	1	6
արաբկիր 	1	6
սասունցի 	1	6
ինստիտուտ 	1	6
ավետիք իսահակյան 	2	6
հեռացու 	1	6
школа 	1	6
ուլնեցու փողոց 	2	6
davtashen 	1	6
ashtarak 	1	6
aneliq 	1	6
community 	1	6
սպանդարյան 	1	6
կարապետ ուլնեցու փողոց 	3	6
բեկի փողոց 	2	6
մաշտոց 	1	6
methan ashtarak 	2	6
գուսան 	1	6
տաճար 	1	6
մամիկոնյան 	1	6
դավիթ բեկի փողոց 	3	6
ծռերի 	1	6
վահրամ 	1	6
փետրվարի 	1	5
գրիրգոր լուսավորչի փողոց 	3	5
զորավար անդրանիկի պողոտա 	3	5
factory 	1	5
շիրվանզադեի 	1	5
ղուկասյան 	1	5
ալեք 	1	5
hrazdan riverbank road 	3	5
սարգսյանի փողոց 	2	5
old sevan-hrazdan road 	3	5
արգիշտի 	1	5
կամոյի փողոց 	2	5
policlinic no 	2	5
անտառային 	1	5
անտառային փողոց 	2	5
վաղարշյան փողոց 	2	5
շենգավիթ 	1	5
վրացական 	1	5
լուսավորչի փողոց 	2	5
ashib 	1	5
sevan-hrazdan 	1	5
շինություն 	1	5
հանրապետության հրապարակ 	2	5
arzni 	1	5
գայի փողոց 	2	5
armeconombank 	1	5
վազգեն սարգսյանի 	2	5
արգիշտի փողոց 	2	5
դեմիրճյանի 	1	5
նիկոլ 	1	5
գրիրգոր 	1	5
անդրանիկի պողոտա 	2	5
նար–դոսի 	1	5
խաչատրյան 	1	5
մյասնիկյան 	1	5
պանդոկ 	1	5
սարգիս եկեղեցի 	2	5
շահինյան 	1	5
policlinic 	1	5
ռիգայի 	1	5
ծովակալ իսակովի 	2	5
իսակովի փող 	2	5
ալավերդյան 	1	5
գյուլիքեվխյան 	1	5
hrazdan riverbank 	2	5
ran 	1	5
ծովակալ 	1	5
riverbank road 	2	5
հովհաննես շիրազի 	2	5
արամի փողոց 	2	5
ծարավ 	1	5
սարյանի 	1	5
նար–դոսի փողոց 	2	5
վ. մամիկոնյան 	2	5
ran oil 	2	5
երկաթ 	1	5
գրիրգոր լուսավորչի 	2	5
բաժանմունք 	1	5
պարույր 	1	5
վաղարշ վաղարշյան փողոց 	3	5
հովհաննիսյան 	1	5
աճառյան 	1	5
riverbank 	1	5
մեսրոպ մաշտոց 	2	5
avenue 	1	5
old sevan-hrazdan 	2	5
սարյանի փողոց 	2	5
abb 	1	5
նաիրի զարյան 	2	5
ֆրիկի 	1	5
ծովակալ իսակովի փող 	3	5
ֆրիկի փողոց 	2	5
մանուկյան 	1	5
նուբարաշենի 	1	5
աղբյուրի 	1	5
աշոտ երկաթ 	2	5
sevan-hrazdan road 	2	5
center 	1	5
գեներալ 	1	5
ծարավ աղբյուրի 	2	5
փափազյան 	1	5
հակոբյան փողոց 	2	5
ամենափրկիչ 	1	5
գյուլիքեվխյան փողոց 	2	5
արամի 	1	5
oil 	1	5
ն. ստեփանյան 	2	5
աճառյան փողոց 	2	5
ազգային 	1	5
մոնթե 	1	5
str. 	1	5
